id,station,state,city,country,address,type,latitude,longitude,company,status,create_at,update_at
756,"EESL Fab India",Delhi,"New Delhi",India,"62, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",8,28.62772522,77.21977647,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
757,"EESL ICICI Bank Janpath",Delhi,"New Delhi",India,"No 82, Janpath Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",8,28.62891677,77.21975289,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
758,"EESL FICCI Chowk",Delhi,"New Delhi",India,"FICCI Chowk, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",8,28.62703859,77.23189591,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
759,"EESL Jain Bhawan",Delhi,"New Delhi",India,"Jain Bhawan, 12, Shaheed Bhagat Singh Marg, Gole Market, New Delhi, Delhi 110001",8,28.6340764,77.20743317,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
760,"EESL Barakhamba",Delhi,"New Delhi",India,"Fire Brigade Lane, Barakhamba, New Delhi, Delhi 110001",8,28.62981766,77.22595347,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
761,"EESL Gopal Das Building",Delhi,"New Delhi",India,"New Barakhamba Rd, Connaught Lane, Barakhamba, New Delhi, Delhi 110001",8,28.63143715,77.22343991,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
762,"EESL HP Petrol Pump",Delhi,"New Delhi",India,"Radial Rd Number 7, Block E, Connaught Place, New Delhi, Delhi 110001",8,28.63195905,77.22212172,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
763,"EESL Block M, CP",Delhi,"New Delhi",India,"K-11, Connaught Cir, Connaught Lane, Barakhamba, New Delhi, Delhi 110001",8,28.63314358,77.22298998,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
764,"EESL Shanker Market",Delhi,"New Delhi",India,"11, Shankar Market, Connaught Lane, Barakhamba, New Delhi, Delhi 110001",8,28.63382667,77.22352744,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
765,"EESL KTM",Delhi,"New Delhi",India,"NDMC Parking, Opp South Indian Bank, Block - E , RR6, Middle Circle, connaught Place, New Delhi - 110001",8,28.63372677,77.22193874,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
766,"EESL M Block",Delhi,"New Delhi",India,"NDMC Parking, Outside Westebd Vedi Tailors, Block M, Middle Circle, Connaught Place, New Delhi - 110001",8,28.63385213,77.2218576,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
767,"EESL Snow White",Delhi,"New Delhi",India,"D-8, D Block, Connaught Place, New Delhi, Delhi 110001",8,28.63410545,77.22086228,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
768,"EESL Croma",Delhi,"New Delhi",India,"Ground Floor, Odeon Cine Complex, Middle Cir, D Block, Connaught Place, New Delhi, Delhi 110001",8,28.63418123,77.22131977,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
769,"EESL Ferns n Petal",Delhi,"New Delhi",India,"C-17.Inner Circle Opp.Odean Cinema, Rajiv Chowk, Connaught Place, New Delhi, Delhi 110001",8,28.63457602,77.22062451,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
770,"EESL Van Heusen",Delhi,"New Delhi",India,"Ground & Mazanine Floor, Rajiv Chowk, Block A, Connaught Place, New Delhi, Delhi 110001",8,28.63296432,77.21796241,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
771,"EESL Block B",Delhi,"New Delhi",India,"Shop No. B-29, Inner Circle, New Delhi, Delhi 110001",8,28.6319879,77.21694388,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
772,"EESL PVR Plaza",Delhi,"New Delhi",India,"Plaza Mall, Connaught Cir, Block H, Connaught Place, New Delhi, Delhi 110001",8,28.63518078,77.21960047,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
773,"EESL Block H",Delhi,"New Delhi",India,"Connaught Cir, Block H, Connaught Place, New Delhi, Delhi 110001",8,28.63455142,77.21791736,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
774,"EESL Iqbal Bros",Delhi,"New Delhi",India,"Marina Arcade, Middle Cir, Sector 1, Block G, Connaught Place, New Delhi, Delhi 110001",8,28.6339199,77.21740165,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
775,"EESL Block A",Delhi,"New Delhi",India,"9 A, Phelps Building, Inner Circle, Connaught Place, New Delhi, Delhi 110001",8,28.63259875,77.21833827,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
776,"EV Plugin Charge Cross River Mall",Delhi,"New Delhi",India,"Cross River Mall, Plot No - 9B & 9C, Basement, 2, CBD Ground, Shahdara, New Delhi, Delhi 110032",8,28.65740137,77.30219421,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
777,"EESL Adwant Chowk Noida","Uttar Pradesh",Noida,India,"Noida-Greater Noida Expy, Sector 142, Noida, Uttar Pradesh 201305",8,28.49920006,77.41280883,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
778,"ESSL SPCI Noida","Uttar Pradesh",Noida,India,"Road Between sector 124 & 125 & Beside SPCI Sector Road, Noida UP - 201313",8,28.544704,77.327263,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
779,"ESSL Sector 50 Market","Uttar Pradesh",Noida,India,"B Block, Sector 50, Noida, Uttar Pradesh 201303",8,28.57088871,77.36212105,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
780,"EESL Sector 51 Noida Afinity Salon","Uttar Pradesh",Noida,India,"Shop No 2, 1st Floor, Block B1-A, Sector 51, Above IDBI Bank, Noida, Uttar Pradesh 201301",8,28.5774085,77.36097525,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
781,"EESL Ganga Shopping Complex Noida","Uttar Pradesh",Noida,India,"29, Sector 50 Block, A Block Rd, A-Block, Sector 50, Noida, Uttar Pradesh 201303",8,28.56789299,77.33526717,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
782,"EESL Kirti Mann Plaza Noida","Uttar Pradesh",Noida,India,"16-C Indian Bank, Block E, Sector 30, Noida, Uttar Pradesh 201303",8,28.57299555,77.34050954,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
783,"EESL RTO Office Noida","Uttar Pradesh",Noida,India,"opposite NTPC, Block A, Sector 32, Noida, Uttar Pradesh 201301",8,28.58764829,77.35208677,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
784,"EESL Shopprix Mall Noida","Uttar Pradesh",Noida,India,"Maharaja Agrasen Marg, A-Block, Sector 61, Noida, Uttar Pradesh 201307",8,28.59717534,77.36480344,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
785,"EESL Opp Sasta Sundar Hospital Sector 58 Noida","Uttar Pradesh",Noida,India,"A 94/7, A Block, Sector 58, Noida, Uttar Pradesh 201301",8,28.60488569,77.35958439,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
786,"EESL HCL Sector 8 Noida","Uttar Pradesh",Noida,India,"B-26, B Block, Sector 8, Noida, Uttar Pradesh 201301",8,28.59505075,77.33041905,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
787,"EESL Tata Advance Systems Noida","Uttar Pradesh",Noida,India,"Near Tata Advance Systems Sector - 59, Noida , UP- 201301",8,28.5961692,77.32663,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
788,"EESL Jain air Travels Sector 2 Noida","Uttar Pradesh",Noida,India,"Opp C-101 Jain Air Travels, Sector 2 , Noida",8,28.58486471,77.31503159,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
789,"EESL Alka Cinema Noida","Uttar Pradesh",Noida,India,"Noida Authority Parking, Sector 15, Nithari, Noida Dadri, Gautam Buddha Nagar, UP -201301",8,28.58260686,77.31284358,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
790,"EESL Electronic City Metro Station","Uttar Pradesh",Noida,India,"Electronic city Metro Station, Gate no 2, Sector 63, Noida UP - 201301",8,28.626475,77.375142,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
791,"EESL H- Block Market, Haldiram","Uttar Pradesh",Noida,India,"H- Block Market, Haldiram Car Parking, Sector 63, Noida 201301",8,28.6281915,77.375303,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
792,"EESL Prayas Bhawan Naya Raipur",Chhattisgarh,Raipur,India,"Public Parking, Prayas Bhawan, Sec -19, Atal Nagar, Nava Raipur",8,21.163948,81.788547,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
793,"Anert -EESL Sangamukham Kerala",Kerala,Thiruvananthapuram,India,"Thiruvananthapuram, Shangumukham, Kannanthura, Thiruvananthapuram, Kerala 695008",8,8.481360724,76.91248155,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
794,"KSEBL Viyyur",Kerala,Thrissur,India,"Padukad, Keltron Nagar, Kolazhy, Thrissur, Kerala 680010",17,10.56044924,76.21714424,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
795,"ANERT EESL thycaucd",Kerala,Thiruvananthapuram,India,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",8,8.492852084,76.95801444,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
796,"ANERT Zivah EV charger",Kerala,Thiruvananthapuram,India,"Vikas Bhavan P. O, Law College Rd, PMG, Thiruvananthapuram, Kerala 695033",8,8.50884848,76.94622254,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
797,"EESL Mantralaya Naya Raipur",Chhattisgarh,Raipur,India,"Sector 19, Kotara Bhantha, Naya Raipur, Chhattisgarh 492101",8,21.16012192,81.79515321,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
798,"TS Transco Vidyut soudha",Telangana,Hyderabad,India,"6-3-643, second floor, khairatabad rd, raj bhavan quarters colony, somajiguda, hyderabad,500004",18,17.41406061,78.45778047,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
799,TSIPARD,Telangana,Hyderabad,India,"Telnagana state institute of rural development - Police Quaters, Rajendranagar mandal, Hyderabad, Telangana 500030",18,17.31694482,78.40246655,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
800,"HPCL Autocare Sajgaon",Maharashtra,lonavala,India,"Dahivati Tarf Boreti, Maharashtra 410203",18,18.79320299,73.29699392,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
801,"Lifeon Industries",Maharashtra,"navi mumbai",India,"D298, TTC Industrial area, turbhe",18,19.06895357,73.02251015,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
802,"Relux Experience Centre (ABS e-auto & Charger)","Tamil Nadu",Chennai,India,"NO: 16/8, PRV Towers, GST Road, Guindy, Chennai, Tamil Nadu - 600 032",19,13.00777749,80.20730884,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
803,"Hotel Aishwarya Bhavan (Safa Electric)","Tamil Nadu",Villupuram,India,"Chennai - Trichy Highway, Tindivanam, Tamil Nadu - 604001",19,12.24034498,79.66228159,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
804,"Sihla Energy Sihla Energy",Kerala,Malappuram,India,"Thrissur-Kunnakulam SH 69, Valayankulam, Kerala - 679591",19,10.73477485,76.04854399,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
805,"Ammayii Hotel & Resorts (PKS Charging Station)","Tamil Nadu",Tiruvannamalai,India,"Old No: 80, New No: 40, Sannathi Street, Opp Karur Vysya Bank, Thiruvanamalai, Tamil Nadu - 606601",19,12.23639376,79.08960088,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
806,"AARGO CSC MINTO ROAD",Delhi,"NEW DELHI",India,,,28.63547,77.2213,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
807,"AARGO GOLDEN GALAXY HOTEL",Haryana,FARIDABAD,India,,,28.288075,77.295116,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
808,"AARGO ASLI PAPPU DHABA","Uttar Pradesh","KOSI KALAN",India,,,27.832687,77.418785,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
809,"Hemank Auto Parts",Maharashtra,Pune,India,"B-5 Electronic Estate,MIDC,Bhosari,Pune",18,18.621902,73.82497,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
810,"HPCL autocare,Sajgaon",Maharashtra,Sajgaon,India,"Autocare centre,COCO VIII,Mumbai-Pune express.Khalapur Toll Naka Sajgaon",18,18.793453,73.297219,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
811,"Hotel swagat INN",Gujarat,Amboli,India,"94, NH 48, opp. Tata Motors, Amboli, Gujarat 394150",18,21.30157137,72.95378153,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
812,"MH|MUMBAI|POWAI#HIRANANDANI GARDENS",Maharashtra,MUMBAI,India,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",,19.11999443,72.9141036,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
813,"MH|TALASARI|HOTEL SAHYADRI",Maharashtra,MUMBAI,India,"HOTEL SAHYADRI,TALASARI,AJMER ROAD,ACHAD,MAHARASHTRA 401606",,20.22117727,72.88122971,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
814,"GJ|NAVSARI|NH 8,GRID ROAD",Gujarat,NAVSARI,India,"HOTEL  FUN CITY(PURE VEG),NH 8,GRID ROAD,BESIDE PEEDEE ELECTRONCS,KABILPORE,NAVSARI",,20.94457359,72.962844,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
815,"HONEST RESTAURANT NH8,MIYAGAM,MIYAGAM KARJAN,GUJARAT",Gujarat,KARJAN,India,"opposite bharthana village, near elentic tolnaka between baroda to bharuch, NH8, miyagam, Karjan, Gujarat 391240",,22.02415767,73.11753277,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
816,"BESCOM HSR LAYOUT",Karnataka,BANGALORE,India,"HSR LAYOUT,BENGALURU,KARNATAKA 560001",16,12.91162361,77.64899678,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
817,"BESCOM BTM LAYOUT",Karnataka,BANGALORE,India,"u00a016th Main, 100ft Ring Road, BTM 1st stage, Opp. Advitha Petrol Bunk, Bengaluru, Karnataka 560076",16,12.91895366,77.61247565,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
818,"BESCOM KATRIGUPPE",Karnataka,BANGALORE,India,"KATRIGUPPE,BENGALURU,KARNATAKA 560001",16,12.93068034,77.57662739,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
819,"BESCOM BYATARAYANAPURA",Karnataka,BANGALORE,India,"BYATARAYANAPURA,BENGALURU,KARNATAKA 560001",16,12.9499757,77.540718,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
820,"BESCOM MURUGESHPALAYA",Karnataka,BANGALORE,India,"MURUGESHPALYA,ENGALURU,KARNATAKA 560001",16,12.95898377,77.66440273,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
821,"BESCOM INDIRANAGAR",Karnataka,BANGALORE,India," HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008",16,12.96495904,77.64423453,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
822,"BBMP CORPORATION OFFICE",Karnataka,BANGALORE,India,"29, Temple Rd, M S K Nagar, Yesvantpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka 560022",16,13.02425398,77.53671856,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
823,"SHIVAJINAGAR TTMC",Karnataka,BANGALORE,India," Bengaluru, Karnataka 562123",16,13.06689523,77.44430974,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
824,"BESCOM BANASWADI",Karnataka,BANGALORE,India,"301-305, 5th D Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",16,13.02043003,77.64093356,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
825,"BESCOM MAHADEVAPURA",Karnataka,BANGALORE,India,"ITPL Main Rd, Vigneshwar Nagar, Devasandra Industrial Estate, Krishnarajapura, Bengaluru, Karnataka 560048",16,12.99493599,77.69924534,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
826,"BESCOM YALHANKA",Karnataka,BANGALORE,India,"SUGAPPA LAYOUT,EAST COLONY,YELAHANKA",16,13.09596479,77.59452594,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
827,"BESCOM JALAHALLI",Karnataka,BANGALORE,India,"JALAHALLI O &M ,NEAR POLICE STATION,HMT GROUND,BANGALORE",16,13.05335357,77.54322724,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
828,"BESCOM MATHIKERE",Karnataka,BANGALORE,India,"MATHIKERE,BENGALURU,KARNATAKA 560001",16,13.03823943,77.55775104,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
829,"BESCOM -PEENYA SRS O&M",Karnataka,BANGALORE,India,"SRS Rd, Yeshwanthpur Suburb II Stage, Yesvanpur Surburb, Peenya, Bengaluru, Karnataka 560058",16,13.03211103,77.52748284,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
830,"EESL High court station","Tamil Nadu",Chennai,India,"High Court Metro Station Chennai (CMRL)",16,13.088249,80.285359,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
831,"EESL High court station","Tamil Nadu",Chennai,India,"High Court Metro Station Chennai (CMRL)",16,13.088249,80.285359,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
832,"EESL Chennai Egmore metro","Tamil Nadu",Chennai,India," Chennai Egmore metro, Chennai (CMRL)",16,13.079097,80.261538,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
833,"EESL Chennai Egmore metro","Tamil Nadu",Chennai,India," Chennai Egmore metro, Chennai (CMRL)",16,13.079097,80.261538,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
834,"EESL Saidapet Metro station","Tamil Nadu",Chennai,India,"Saidapet Metro station",16,13.0237,80.2282,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
835,"EESL Tirumangalam Metro station","Tamil Nadu",Chennai,India,"Tirumangalam Metro station",16,13.0853,80.2016,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
836,"EESL Thirumangalam Metro","Tamil Nadu",Chennai,India,"Tirumangalam Metro station",16,13.0853,80.2016,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
837,"EESL Chelmsford Club",Delhi,Delhi,India,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",16,28.61826041,77.21256986,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
838,"EESL Chelmsford Club",Delhi,Delhi,India,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",16,28.61826041,77.21256986,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
839,"u00a0EESL Sushma Swaraj Bhawan",Delhi,Delhi,India,"Susma swaraj Bhawan, MEA, New Delhi",16,28.59583333,77.18055556,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
840,"EESL Delhi Haat",Delhi,Delhi,India,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",16,28.572793,77.208662,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
841,"EESL Chelmsford Club",Delhi,Delhi,India,"Back of Hotel Claridges Near NDMC Power Sub nStation, Tees January Marg, nDr. APJ Abdul Kalam Road, New Delhi- 110003",16,28.61826041,77.21256986,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
842,"EESL Chelmsford Club",Delhi,Delhi,India,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",16,28.61826041,77.21256986,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
843,"EESL Legislative Assembly Goa",Goa,Goa,India,"GDA, Goa",16,15.51047222,73.83722222,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
844,"ANERT-EESL Ernakulam Kerala",Kerala,Kochi,India,"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",16,9.977164,76.27777,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
845,"HAREDA EESL Panchkula",Haryana,Panchkula,India,"HAREDA, Akshay Urja Bhawan , Institutional plot No.1 Sector-17 Panchkula , 134109 Haryana",16,30.695929,76.834874,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
846,"ANERT-EESL AUTOKAST Kerala",Kerala,Perunnermangalam,India,"AUTOKAST premises, South East End adjacent to NH 66, Mararikulam North Village, Perunnermangalam, Muriyil.",16,9.63628,76.3352,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
847,"ANERT-EESL Sangamukham Kerala",Kerala,Thiruvanthapuram,India,"Sanghumukham DTPC office, Shanghumukham beach, thiruvananthapuram,Kerala- 605007",16,8.481159,76.912456,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
848,"ANERT-EESL Thycaud Kerala",Kerala,Thiruvanthapuram,India,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",16,8.4927752,76.9572956,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
849,"KSEB NEMOM",Kerala,THIRUVANANTHAPURAM,India,NEYYATTINKARA,16,8.460016017,77.00402472,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
850,"KSEBL OLAI",Kerala,THIRUVANANTHAPURAM,India,"NH 66, T D Nagar, Olayil, High School Jun, Kollam, Kerala 691009",16,8.892952791,76.57878733,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
851,"KSEBL PALARIVATTOM",Kerala,THIRUVANANTHAPURAM,India,"Palarivattom - Edappally Rd, Sonia Nagar, Palarivattom, Ernakulam, Kerala 682565",16,10.00552573,76.3050448,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
852,"KSEBL VIYYUR",Kerala,THIRUVANANTHAPURAM,India,"H668+2VH, Padukad, Keltron Nagar, Kolazhy, Thrissur, Kerala 680010",16,10.56052307,76.2172408,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
853,"KSEBL NALLALAM",Kerala,THIRUVANANTHAPURAM,India,"Modern Bazar, Nallalam, Kozhikode, Kerala 673018",16,11.20838069,75.80848587,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
854,"KSEBL CHOVVA",Kerala,THIRUVANANTHAPURAM,India,"Kannur - Kuthuparamba Rd, Elayavoor, Kerala 670331",16,11.86893912,75.40316573,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
855,"MG AHMEDABAD MAKARBA",Gujarat,AHMEDABAD,India,"PLOT NO 2,GROUND FLOOR,SURVEY NO 841/1 AND 2,10,SIGNATURE 1 ,NEAR OLD RAILWAY LINE,SG HIGHWAY,MAKARBA,GUJARAT 3850051 AHMEDABAD",20,22.996681,72.498226,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
856,"MG BENGALURU",Karnataka,"ELECTRONIC CITY",India,"195/6/2,WARD NO 192,BHARATENA AGRAHARA,LAVA KUSHA NAGAR,HOSUR ROAD,KARNATAKA 560100 BENGALURU",20,12.865032,77.657853,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
857,"MG GURGAON SECTOR 15",Haryana,GURUGRAM,India,"32,MILESTONE,EXPERION CENTER,SECTOR 1,NH-8,HARYANA 122001 GURUGRAM",20,28.462298,77.048472,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
858,"IOC MADINAGUDA",Telangana,HYDERABAD,India,"SURVEY NO 98 MIYAPUR MAIN ROAD,MADINAGUDA HAFEEZPET,TELENGANA 500050 HYDERABAD",20,17.494851,78.336467,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
859,"HMR MADHAPUR",Telangana,HYDERABAD,India,"PLOT NO 735 ROAD NO 37 AND 38LEFT LANE AFTER CROMA,CBI COLONY JUBLI HILLS,HYDERABAD.TELENGANA 500033",20,17.435968,78.40003,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
860,"MG HYDERABAD JUBILEE HILLS",Telangana,HYDERABAD,India,"8-2-120/86, 10A, opposite Hotel park hyatt, Rd no2, Banjara hills, hyderabad, 500033",20,17.523923,78.430328,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
861,"HMR BEGUMPET",Telangana,HYDERABAD,India,"7-1-22/A Begumpet flyover, Leelanagar, Ameerpet, Telanagana 500016",20,17.438229,78.457263,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
862,"IOC BEGUMPET",Telangana,HYDERABAD,India,"BEGUMPET,HYDERABAD,TELENGANA,INDIA,TELENGANA,500016,HYDERABAD",20,17.444838,78.466949,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
863,"MG MOHALI SECTOR 82",Punjab,MOHALI,India,"MG MOHALI,PLOT NO 3,JANATA INDUSTRIAL ESTATE SECTOR 82,SAS NAGAR,MOHALI,PUNAB,PUNJAB,160082 MOHALI",20,30.661356,76.731482,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
864,"MG DELHI SHIVAJI MARG",Delhi,"NEW DELHI",India,"PLOT NO 13 SHIVAJI MARG DELHI 110015 NEW DELHI",20,28.66196,77.152242,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
865,"MG DELHI LAJPAT NAGAR",Delhi,"NEW DELHI",India,"A-14, Ring Road, Lajpat nagar, Delhi 110024",20,28.564863,77.236743,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
866,McDonalds,Maharashtra,Kolhapur,India,"Shop No 1C, Hissa No 1, Plot No 1/K1, next to Klin Fuel Technology, Sarnobatwadi Kolhapur Maharashtra 416004",21,16.6869187,74.2703805,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
867,"Hotel Marigold",Telangana,Hyderabad,India,"Ameerpet Rd, Leela Nagar, Begumpet, Hyderabad, Telangana 500016",21,17.437257,78.4522943,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
868,"BSES RAPID CHARGING ZONE",Delhi,Patparkang,India,"Narwana,Patparkang road,I-P Extension",14,28.62145,77.293556,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
869,"Relux Experience Centre (ABS e-auto & Charger)","Tamil Nadu",Chennai,India,"NO: 16/8, PRV Towers, GST Road, Guindy, Chennai, Tamil Nadu - 600 032",19,13.00777749,80.20730884,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
870,"Hotel Aishwarya Bhavan (Safa Electric)","Tamil Nadu",Villupuram,India,"Chennai - Trichy Highway, Tindivanam, Tamil Nadu - 604001",19,12.24034498,79.66228159,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
