id,name,country_code
188,Saint Vincent and the Grenadines,VCT
189,Saint-Barthelemy,BLM
190,Saint-Martin (French part),MAF
191,Samoa,WSM
192,San Marino,SMR
193,Sao Tome and Principe,STP
194,Saudi Arabia,SAU
195,Senegal,SEN
196,Serbia,SRB
197,Seychelles,SYC
198,Sierra Leone,SLE
199,Singapore,SGP
250,Sint Maarten (Dutch part),SXM
200,Slovakia,SVK
201,Slovenia,SVN
202,Solomon Islands,SLB
203,Somalia,SOM
204,South Africa,ZAF
205,South Georgia,SGS
116,South Korea,KOR
206,South Sudan,SSD
207,Spain,ESP
208,Sri Lanka,LKA
209,Sudan,SDN
210,Suriname,SUR
211,Svalbard and Jan Mayen Islands,SJM
213,Sweden,SWE
214,Switzerland,CHE
215,Syria,SYR
216,Taiwan,TWN
217,Tajikistan,TJK
218,Tanzania,TZA
219,Thailand,THA
17,The Bahamas,BHS
63,Timor-Leste,TLS
220,Togo,TGO
221,Tokelau,TKL
222,Tonga,TON
223,Trinidad and Tobago,TTO
224,Tunisia,TUN
225,Turkey,TUR
226,Turkmenistan,TKM
227,Turks and Caicos Islands,TCA
228,Tuvalu,TUV
229,Uganda,UGA
230,Ukraine,UKR
231,United Arab Emirates,ARE
232,United Kingdom,GBR
233,United States,USA
234,United States Minor Outlying Islands,UMI
235,Uruguay,URY
236,Uzbekistan,UZB
237,Vanuatu,VUT
238,Vatican City State (Holy See),VAT
239,Venezuela,VEN
240,Vietnam,VNM
241,Virgin Islands (British),VGB
242,Virgin Islands (US),VIR
243,Wallis and Futuna Islands,WLF
244,Western Sahara,ESH
245,Yemen,YEM
246,Zambia,ZMB
247,Zimbabwe,ZWE
